ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
EVR,318.9400,0.464038,0.183697,0.062518,-0.013526,0.117395,0.158140,0.207967,29348.78,39534.92,51991.87,-0.092037,0.789875,0.204343,0.332241
BROS,50.8500,0.520635,0.181989,0.094271,-0.065016,0.131839,0.177656,0.233721,32959.77,44413.92,58430.37,-0.181950,0.765012,0.160851,0.287124
MIDD,157.7800,0.259743,0.179754,0.042662,0.001115,0.062485,0.082433,0.105260,15621.28,20608.27,26315.00,0.046495,0.018790,0.338720,0.421619
VTV,206.6500,0.103865,0.179434,0.048384,-0.044223,0.019764,0.023593,0.026060,4941.05,5898.17,6514.91,0.071780,0.391261,0.344206,0.419593
AMT,182.4800,0.317346,-0.177605,-0.088028,-0.038607,0.078504,0.104796,0.136099,19626.01,26199.06,34024.86,0.043936,0.040275,0.436772,0.307716
IRM,111.7800,0.381616,0.171629,0.131584,0.026266,0.095860,0.128772,0.168711,23965.11,32192.90,42177.81,0.342864,0.580361,0.258292,0.408835
CRWD,363.3100,0.587197,0.169672,0.054916,0.029080,0.148531,0.200052,0.262986,37132.80,50012.93,65746.55,-0.199017,0.131701,0.108761,0.235888
WEAT,21.7500,0.201693,0.164286,0.076662,-0.008503,0.046393,0.060054,0.074626,11598.25,15013.59,18656.45,0.087500,-0.188433,0.339367,0.422808
RPD,6.2700,1.073991,0.162393,0.153525,0.085364,0.262827,0.349301,0.450428,65706.73,87325.35,112607.02,-0.560617,-0.887936,-0.072163,0.072163
KWEB,32.2400,0.214493,0.158899,0.041201,0.019939,0.049931,0.064962,0.081314,12482.76,16240.55,20328.39,-0.095145,0.371791,0.343002,0.418799
ONON,46.6500,0.371473,0.157133,0.035597,-0.028240,0.093160,0.125062,0.163704,23290.09,31265.60,40925.92,-0.006390,0.422690,0.289872,0.393469
SOXX,368.0000,0.321266,0.153806,-0.019338,-0.064977,0.079582,0.106295,0.138157,19895.44,26573.77,34539.22,0.173133,0.740674,0.343068,0.398187
ESAB,124.7800,0.397430,0.150275,0.064435,-0.002952,0.100046,0.134509,0.176433,25011.52,33627.14,44108.17,0.108466,0.293055,0.264020,0.377897
XLY,117.0900,0.166486,0.148148,-0.029556,-0.071111,0.036704,0.046666,0.056507,9176.06,11666.55,14126.79,-0.010646,0.309705,0.366046,0.397030
AR,34.4100,0.423362,0.147825,0.007307,-0.031328,0.106851,0.143804,0.188887,26712.72,35951.09,47221.77,0.005846,0.353659,0.255459,0.345298
STAG,38.5600,0.234404,-0.146244,-0.158212,-0.066699,0.055447,0.072629,0.091798,13861.81,18157.29,22949.58,0.044420,0.101250,0.457553,0.303628
NTRA,211.8300,0.412610,0.145875,0.137762,-0.002634,0.104038,0.139966,0.183753,26009.48,34991.54,45938.23,-0.074331,1.855236,0.242029,0.375769
APPF,166.6900,0.514617,0.145830,0.136482,0.099686,0.130315,0.175602,0.231023,32578.67,43900.54,57755.74,-0.276425,-0.303106,0.151783,0.305580
RRC,39.1300,0.347388,0.145370,-0.010806,-0.034449,0.086694,0.116151,0.151620,21673.61,29037.77,37904.94,0.108499,0.270123,0.319726,0.400190
CAKE,65.9400,0.377873,0.141313,0.098570,0.030592,0.094866,0.127406,0.166869,23716.43,31851.47,41717.23,0.248627,0.940691,0.273379,0.399725
FANG,167.7700,0.298839,-0.139884,-0.099017,-0.094134,0.073374,0.097640,0.126235,18343.58,24409.96,31558.81,0.101287,0.017539,0.448711,0.310237
ROIV,28.6600,0.659293,0.139365,0.092936,-0.016283,0.166290,0.223705,0.293574,41572.40,55926.37,73393.62,0.306886,1.449573,0.059695,0.174002
PPLT,207.2600,0.850231,0.139289,0.113556,0.087914,0.211870,0.283636,0.369621,52967.45,70909.10,92405.26,0.065604,1.556871,-0.060647,0.060647
IWN,199.7600,0.173176,0.137823,0.026079,-0.057146,0.038540,0.049195,0.059913,9634.90,12298.84,14978.30,0.092361,0.370349,0.358808,0.404114
OVV,49.3300,0.365590,-0.136606,-0.117808,-0.072212,0.091588,0.122900,0.160778,22897.08,30724.92,40194.53,0.218326,0.136225,0.395425,0.297338
MC,62.7200,0.409064,0.135375,0.055291,-0.030399,0.103107,0.138695,0.182050,25776.85,34673.78,45512.55,-0.110581,0.269912,0.262616,0.360811
XLV,157.8300,0.131143,0.133824,0.036153,-0.038657,0.027076,0.033475,0.038924,6768.89,8368.68,9730.93,0.014919,0.109154,0.356831,0.406857
IRTC,135.9000,0.545717,0.130901,0.133566,0.084943,0.138164,0.186161,0.244871,34541.08,46540.37,61217.84,-0.224404,0.280746,0.133212,0.275721
INDA,52.7400,0.160012,0.128577,0.107334,0.025200,0.034931,0.044227,0.053231,8732.85,11056.74,13307.79,-0.033358,0.030286,0.340843,0.422372
URA,55.1900,0.608358,0.123904,0.146694,0.080852,0.153777,0.207057,0.272079,38444.23,51764.26,68019.77,0.198220,1.158380,0.084926,0.227057
AA,64.9000,0.561123,0.123652,0.013036,-0.021736,0.142028,0.191346,0.251646,35507.03,47836.41,62911.41,0.147860,1.624570,0.151814,0.233203
NOV,20.1600,0.380987,-0.116929,-0.144831,-0.096733,0.095694,0.128543,0.168402,23923.39,32135.63,42100.58,0.228519,0.260127,0.384695,0.283435
SRPT,18.9700,0.687377,0.115743,-0.023532,-0.087879,0.173123,0.232761,0.305199,43280.65,58190.24,76299.79,-0.109808,-0.862187,0.068747,0.121983
SOFI,19.2900,0.470863,0.115104,-0.014470,-0.079744,0.119150,0.160518,0.211120,29787.56,40129.57,52779.91,-0.297524,1.258782,0.234298,0.291560
IONS,80.9300,0.313363,-0.113708,-0.018138,-0.074444,0.077406,0.103267,0.133998,19351.48,25816.86,33499.48,0.015815,0.755532,0.417138,0.330644
UNG,11.6000,1.186410,-0.112826,-0.098591,-0.079851,0.287484,0.380548,0.487872,71871.00,95137.06,121968.04,-0.038143,-0.257362,0.050980,-0.050980
