ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
CRWD,384.8600,0.620506,-0.052032,0.020988,0.049639,0.156776,0.211055,0.277255,39193.89,52763.66,69313.79,-0.151506,0.226411,0.141530,0.151738
INDA,50.9500,0.174538,-0.051239,-0.039589,0.068339,0.038914,0.049711,0.060609,9728.38,12427.77,15152.20,-0.066166,-0.011393,0.403359,0.359531
POOL,222.0000,0.526238,0.050808,0.088141,0.127759,0.133256,0.179563,0.236226,33314.00,44890.78,59056.43,-0.033564,-0.431690,0.170922,0.268320
TENB,19.6400,0.656555,-0.050772,-0.013286,0.053668,0.165621,0.222818,0.292433,41405.28,55704.55,73108.23,-0.135944,-0.588777,0.118265,0.119627
VNO,27.3800,0.356585,-0.050172,-0.051689,0.030539,0.089173,0.119572,0.156268,22293.27,29893.05,39067.04,-0.181465,0.082429,0.360849,0.346364
IWO,338.5100,0.212822,0.048807,0.085639,0.084596,0.049469,0.064321,0.080438,12367.22,16080.15,20109.53,0.034819,0.277437,0.357418,0.404433
ESTC,52.9200,0.779333,0.048528,0.065550,0.056541,0.195180,0.261822,0.342184,48795.11,65455.46,85546.10,-0.270673,-0.511808,-0.012123,0.063115
PALL,160.9600,0.691374,0.047865,0.066729,0.034806,0.174091,0.234043,0.306841,43522.82,58510.67,76710.17,0.080414,0.818963,0.056857,0.127770
DENN,6.2500,0.021823,-0.047244,0.002806,-0.040588,0.000841,0.000448,0.000130,210.33,112.12,32.38,0.006441,-0.317686,0.402916,0.352018
EVR,314.4800,0.475198,0.047216,0.052303,0.076329,0.120263,0.162025,0.213115,30065.79,40506.37,53278.76,-0.102428,0.688914,0.222244,0.296808
BNO,37.3400,0.356881,-0.046546,-0.110941,-0.049397,0.089253,0.119682,0.156417,22313.17,29920.49,39104.27,0.321770,0.240532,0.376586,0.330151
